Buy,Ready to trade,1,7250,Mogan,custodyEnterprise 1
Buy,Ready to trade,2,7150,Mogan,custodyEnterprise 1
Buy,Ready to trade,3,7090,Mogan,custodyEnterprise 1
Buy,Ready to trade,2,7390,Mogan,custodyEnterprise 1
Buy,Ready to trade,2,7200,Mogan,custodyEnterprise 1
Sell,Ready to trade,1,7250,Mogan,custodyEnterprise 1
Sell,Ready to trade,2,7150,Mogan,custodyEnterprise 1
Sell,Ready to trade,1,7100,Mogan,custodyEnterprise 1
Sell,Ready to trade,3,7110,Mogan,custodyEnterprise 1
Sell,Ready to trade,1,7020,Mogan,custodyEnterprise 1
